"RECIPE_ID","WEIGHT","FAT","CARBO","PROTEIN"
"2712","2118.0","59.06631250000001","518.8005","184.225375"
"2713","5546.75","130.9293675","1436.6822149999998","316.67594499999996"
"2714","697.5","76.89399999999999","367.25","130.35"
"2715","1673.0","59.750125000000004","655.3707499999999","135.00725"
"2716","4223.35","135.39695","317.70715000000007","81.74815"
"2717","215.0","6.125","77.3","21.1"
"2718","1000.0","40.4625","100.425","9.575"
"2719","1278.5","37.364605","128.96725","43.039750000000005"
"2720","1231.25","6.0055000000000005","530.19475","122.30525"
"2721","1683.0","127.06820000000002","259.72600000000006","203.265"
"2722","3813.85","163.635625","912.26365","301.99865"
"2723","1696.0","47.60065","167.85899999999998","228.73975000000002"
"2724","2515.0","55.202912500000004","570.789","136.91275"
"2725","1639.0","45.81795","387.85699999999997","153.03520000000003"
"2726","1677.5","118.417375","736.9925000000001","170.6025"
"2727","2605.0","114.5389375","343.95","37.558749999999996"
"2728","567.85","9.46733815","253.95049999999998","68.13055"
"2729","820.5","22.531073749999997","89.20804999999999","50.273374999999994"
"2730","2237.5","98.94749999999999","441.16249999999997","139.3375"
"2731","440.0","13.84345","253.53449999999998","68.113"
"2732","1812.5","45.30625","489.125","172.1625"
"2733","1863.0","20.725247","195.5","54.606"
"2734","1659.82","37.252187","812.37791","139.51523"
"2735","1527.85","41.781195","349.79249999999996","96.773"
"2736","2568.42","50.48631610000001","449.85503","134.45632"
"2737","3260.0","827.999775","774.1765","407.3085"
"2738","1472.5","55.605292500000004","196.23049999999998","28.48355"
"2739","1346.5","27.93426375","332.45","181.95937500000002"
"2740","3038.2","120.40669999999999","461.92915","280.49364999999995"
"2741","1041.0","34.9628","321.29200000000003","162.4915"
"2742","2970.0","179.61030000000002","720.6865","301.8745"
"2743","1510.5","44.298500000000004","690.472875","179.0515"
"2744","625.0","45.295515","133.107","97.879"
"2745","2172.25","43.209250000000004","241.8336","444.3116"
"2746","2173.0","55.587819999999994","308.251","80.9165"
"2747","1755.75","93.80782500000001","396.008","186.67100000000002"
"2748","1963.0","91.170265","509.457","95.2615"
"2749","3011.25","98.144475","511.04900000000004","102.18175"
"2750","962.5","29.84145","217.85999999999999","56.946999999999996"
"2751","2235.35","501.8335","602.3425","255.553"
"2752","4925.75","179.32214499999998","614.3706249999999","351.992875"
"2753","1418.75","89.68507500000001","282.98425","115.245"
"2754","786.5","21.845495","227.06162499999996","71.063625"
"2755","1069.0","3.8871500000000005","89.17500000000001","110.439"
"2756","1385.0","55.80785","762.186","206.13150000000002"
"2757","2343.75","113.778075","565.1002500000001","219.544"
"2758","3368.0","142.154875","678.87675","346.90024999999997"
"2759","2827.0","79.0293","478.13350000000014","446.26"
"2760","690.0","36.0243125","71.12","18.8875"
"2761","1456.5","205.88289999999998","129.41500000000002","52.539"
"2762","1230.5","62.13995","221.40349999999998","106.4965"
"2763","1201.5","41.424375","383.17299999999994","78.51125000000002"
"2764","1270.5","52.565648","456.836","213.56915"
"2765","2192.0","32.27238499999999","468.65725","74.72975000000001"
"2766","1773.25","45.4453","693.33425","194.22699999999995"
"2767","1488.0","30.861475000000002","342.188","126.1465"
"2768","1832.75","92.67197000000002","333.745125","219.98137499999999"
"2769","1137.5","48.18295750000001","65.48974999999999","44.33925000000001"
"2770","2498.85","82.18327000000001","443.55519999999996","285.4037"
"2771","1786.5","70.81478750000001","439.22862499999997","195.05674999999997"
"2772","1689.75","50.483537500000004","338.98224999999996","101.04825000000001"
"2773","2205.5","135.08294999999998","734.3062500000001","201.55225000000002"
"2774","2152.85","29.370349999999995","510.48119999999994","141.70469999999997"
"2775","3285.0","240.87671250000005","1341.8385","317.6465"
"2776","1799.85","49.100100000000005","610.7979999999999","171.71749999999997"
"2777","33.75","3.0409499999999996","12.789000000000001","1.92725"
"2778","466.25","17.942269999999997","62.654999999999994","18.17625"
"2779","3437.0","190.40035","370.29499999999996","249.33725"
"2780","1644.0","89.15237499999999","339.42300000000006","77.10475000000001"
"2781","949.35","51.1901","307.90608","45.17247999999999"
"2782","1280.0","43.55431250000001","382.24237500000004","118.582875"
"2783","948.6","1.797","9.445345","187.45628999999997"
"2784","1673.0","44.315594999999995","495.40349999999995","174.65949999999998"
"2785","962.5","64.35462500000001","544.5535","98.896"
